| Reward: -52070 | Episode: 76 | Qmax: -946.2484 | Exploration: 0.650000 
| Reward: -51170 | Episode: 77 | Qmax: -947.8032 | Exploration: 0.650000 
| Reward: -50540 | Episode: 78 | Qmax: -949.1313 | Exploration: 0.650000 
| Reward: -50990 | Episode: 79 | Qmax: -950.5250 | Exploration: 0.650000 
DDQN Saved
| Reward: -51350 | Episode: 80 | Qmax: -951.6991 | Exploration: 0.650000 
| Reward: -52610 | Episode: 81 | Qmax: -952.7868 | Exploration: 0.650000 
| Reward: -53060 | Episode: 82 | Qmax: -953.7765 | Exploration: 0.650000 
| Reward: -52520 | Episode: 83 | Qmax: -954.7189 | Exploration: 0.650000 
| Reward: -53330 | Episode: 84 | Qmax: -955.3697 | Exploration: 0.650000 
| Reward: -50810 | Episode: 85 | Qmax: -955.9001 | Exploration: 0.650000 
| Reward: -51710 | Episode: 86 | Qmax: -956.9236 | Exploration: 0.650000 
| Reward: -52700 | Episode: 87 | Qmax: -957.5311 | Exploration: 0.650000 
| Reward: -51890 | Episode: 88 | Qmax: -958.3597 | Exploration: 0.650000 
| Reward: -52520 | Episode: 89 | Qmax: -959.2655 | Exploration: 0.650000 
| Reward: -50720 | Episode: 90 | Qmax: -960.1443 | Exploration: 0.650000 
| Reward: -53960 | Episode: 91 | Qmax: -960.7820 | Exploration: 0.650000 
| Reward: -51890 | Episode: 92 | Qmax: -961.1316 | Exploration: 0.650000 
| Reward: -52340 | Episode: 93 | Qmax: -961.9221 | Exploration: 0.650000 
| Reward: -51080 | Episode: 94 | Qmax: -962.4875 | Exploration: 0.650000 
| Reward: -51890 | Episode: 95 | Qmax: -962.7832 | Exploration: 0.650000 
| Reward: -51170 | Episode: 96 | Qmax: -963.4129 | Exploration: 0.650000 
| Reward: -52160 | Episode: 97 | Qmax: -964.0348 | Exploration: 0.650000 
| Reward: -52790 | Episode: 98 | Qmax: -964.5503 | Exploration: 0.650000 
| Reward: -51080 | Episode: 99 | Qmax: -964.5344 | Exploration: 0.650000 
DDQN Saved
| Reward: -50810 | Episode: 100 | Qmax: -964.8899 | Exploration: 0.650000 
| Reward: -53690 | Episode: 101 | Qmax: -965.1839 | Exploration: 0.650000 
| Reward: -51440 | Episode: 102 | Qmax: -965.4217 | Exploration: 0.650000 
| Reward: -50810 | Episode: 103 | Qmax: -965.6883 | Exploration: 0.650000 
| Reward: -52880 | Episode: 104 | Qmax: -966.2445 | Exploration: 0.650000 
| Reward: -51980 | Episode: 105 | Qmax: -967.1037 | Exploration: 0.650000 
| Reward: -52790 | Episode: 106 | Qmax: -967.3640 | Exploration: 0.650000 
| Reward: -51710 | Episode: 107 | Qmax: -967.6540 | Exploration: 0.650000 
| Reward: -52160 | Episode: 108 | Qmax: -967.9815 | Exploration: 0.650000 
| Reward: -51980 | Episode: 109 | Qmax: -968.1844 | Exploration: 0.650000 
| Reward: -51530 | Episode: 110 | Qmax: -968.4078 | Exploration: 0.650000 
| Reward: -52070 | Episode: 111 | Qmax: -968.8062 | Exploration: 0.650000 
| Reward: -51350 | Episode: 112 | Qmax: -968.9111 | Exploration: 0.650000 
| Reward: -51080 | Episode: 113 | Qmax: -969.4898 | Exploration: 0.650000 
| Reward: -52970 | Episode: 114 | Qmax: -969.9523 | Exploration: 0.650000 
| Reward: -52700 | Episode: 115 | Qmax: -970.6704 | Exploration: 0.650000 
| Reward: -52610 | Episode: 116 | Qmax: -971.3099 | Exploration: 0.650000 
| Reward: -51710 | Episode: 117 | Qmax: -971.7538 | Exploration: 0.650000 
| Reward: -50630 | Episode: 118 | Qmax: -972.0744 | Exploration: 0.650000 
| Reward: -51710 | Episode: 119 | Qmax: -972.5582 | Exploration: 0.650000 
DDQN Saved
| Reward: -52790 | Episode: 120 | Qmax: -973.0521 | Exploration: 0.650000 
| Reward: -51260 | Episode: 121 | Qmax: -973.2659 | Exploration: 0.650000 
| Reward: -52700 | Episode: 122 | Qmax: -973.8279 | Exploration: 0.650000 
| Reward: -51080 | Episode: 123 | Qmax: -974.5325 | Exploration: 0.650000 
| Reward: -51530 | Episode: 124 | Qmax: -975.2295 | Exploration: 0.650000 
| Reward: -51170 | Episode: 125 | Qmax: -975.8765 | Exploration: 0.650000 
| Reward: -52520 | Episode: 126 | Qmax: -976.3736 | Exploration: 0.650000 
| Reward: -51260 | Episode: 127 | Qmax: -976.4972 | Exploration: 0.650000 
| Reward: -51980 | Episode: 128 | Qmax: -977.0450 | Exploration: 0.650000 
| Reward: -50810 | Episode: 129 | Qmax: -977.4507 | Exploration: 0.650000 
| Reward: -51800 | Episode: 130 | Qmax: -977.7495 | Exploration: 0.650000 
| Reward: -52520 | Episode: 131 | Qmax: -978.1324 | Exploration: 0.650000 
| Reward: -52430 | Episode: 132 | Qmax: -978.3747 | Exploration: 0.650000 
| Reward: -51620 | Episode: 133 | Qmax: -978.4666 | Exploration: 0.650000 
| Reward: -52880 | Episode: 134 | Qmax: -978.5203 | Exploration: 0.650000 
| Reward: -54140 | Episode: 135 | Qmax: -978.5395 | Exploration: 0.650000 
| Reward: -52070 | Episode: 136 | Qmax: -978.2897 | Exploration: 0.650000 
| Reward: -51260 | Episode: 137 | Qmax: -978.2561 | Exploration: 0.650000 
| Reward: -51620 | Episode: 138 | Qmax: -978.1120 | Exploration: 0.650000 
| Reward: -53870 | Episode: 139 | Qmax: -977.9975 | Exploration: 0.650000 
DDQN Saved
| Reward: -52610 | Episode: 140 | Qmax: -978.5485 | Exploration: 0.650000 
| Reward: -52970 | Episode: 141 | Qmax: -978.5270 | Exploration: 0.650000 
| Reward: -50810 | Episode: 142 | Qmax: -978.6234 | Exploration: 0.650000 
| Reward: -52610 | Episode: 143 | Qmax: -978.6665 | Exploration: 0.650000 
| Reward: -53060 | Episode: 144 | Qmax: -978.7091 | Exploration: 0.650000 
| Reward: -52070 | Episode: 145 | Qmax: -978.8134 | Exploration: 0.650000 
| Reward: -52070 | Episode: 146 | Qmax: -978.8891 | Exploration: 0.650000 
| Reward: -52790 | Episode: 147 | Qmax: -978.5566 | Exploration: 0.650000 
| Reward: -52160 | Episode: 148 | Qmax: -978.5297 | Exploration: 0.650000 
| Reward: -51530 | Episode: 149 | Qmax: -978.4569 | Exploration: 0.650000 
| Reward: -52070 | Episode: 150 | Qmax: -979.0127 | Exploration: 0.650000 
| Reward: -51530 | Episode: 151 | Qmax: -978.9038 | Exploration: 0.650000 
| Reward: -50990 | Episode: 152 | Qmax: -979.1861 | Exploration: 0.650000 
| Reward: -50630 | Episode: 153 | Qmax: -979.6240 | Exploration: 0.650000 
| Reward: -51530 | Episode: 154 | Qmax: -979.5369 | Exploration: 0.650000 
| Reward: -51440 | Episode: 155 | Qmax: -979.0643 | Exploration: 0.650000 
| Reward: -52070 | Episode: 156 | Qmax: -978.9165 | Exploration: 0.650000 
| Reward: -53600 | Episode: 157 | Qmax: -978.9313 | Exploration: 0.650000 
| Reward: -53150 | Episode: 158 | Qmax: -979.0528 | Exploration: 0.650000 
| Reward: -52250 | Episode: 159 | Qmax: -978.9468 | Exploration: 0.650000 
DDQN Saved
| Reward: -52340 | Episode: 160 | Qmax: -979.1666 | Exploration: 0.650000 
| Reward: -51260 | Episode: 161 | Qmax: -978.9654 | Exploration: 0.650000 
| Reward: -51710 | Episode: 162 | Qmax: -978.2866 | Exploration: 0.650000 
| Reward: -53690 | Episode: 163 | Qmax: -978.5756 | Exploration: 0.650000 Traceback (most recent call last):
  File "vm_main.py", line 3, in <module>
    from graphviz import Source
ModuleNotFoundError: No module named 'graphviz'
/home/ubuntu/anaconda3/envs/tensorflow_p27/lib/python2.7/site-packages/h5py/__init__.py:36: FutureWarning: Conversion of the second argument of issubdtype from `float` to `np.floating` is deprecated. In future, it will be treated as `np.float64 == np.dtype(float).type`.
  from ._conv import register_converters as _register_converters
/home/ubuntu/anaconda3/envs/tensorflow_p27/lib/python2.7/site-packages/matplotlib/__init__.py:962: UserWarning: Duplicate key in file "/home/ubuntu/.config/matplotlib/matplotlibrc", line #2
  (fname, cnt))
/home/ubuntu/anaconda3/envs/tensorflow_p27/lib/python2.7/site-packages/matplotlib/__init__.py:962: UserWarning: Duplicate key in file "/home/ubuntu/.config/matplotlib/matplotlibrc", line #3
  (fname, cnt))
2018-02-09 02:03:31.844181: I tensorflow/core/platform/cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2018-02-09 02:03:31.930746: I tensorflow/stream_executor/cuda/cuda_gpu_executor.cc:892] successful NUMA node read from SysFS had negative value (-1), but there must be at least one NUMA node, so returning NUMA node zero
2018-02-09 02:03:31.931004: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1030] Found device 0 with properties: 
name: Tesla K80 major: 3 minor: 7 memoryClockRate(GHz): 0.8235
pciBusID: 0000:00:1e.0
totalMemory: 11.17GiB freeMemory: 460.12MiB
2018-02-09 02:03:31.931037: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1120] Creating TensorFlow device (/device:GPU:0) -> (device: 0, name: Tesla K80, pci bus id: 0000:00:1e.0, compute capability: 3.7)
/home/ubuntu/anaconda3/envs/tensorflow_p27/lib/python2.7/site-packages/tensorflow/python/ops/gradients_impl.py:96: UserWarning: Converting sparse IndexedSlices to a dense Tensor of unknown shape. This may consume a large amount of memory.
  "Converting sparse IndexedSlices to a dense Tensor of unknown shape. "
0
0
DDQN Saved
| Reward: -60710 | Episode: 0 | Qmax: -9.7100 | Exploration: 0.650000 
| Reward: -55670 | Episode: 1 | Qmax: -51.7921 | Exploration: 0.650000 
| Reward: -56750 | Episode: 2 | Qmax: -92.1189 | Exploration: 0.650000 
| Reward: -68990 | Episode: 3 | Qmax: -124.7499 | Exploration: 0.650000 
| Reward: -63140 | Episode: 4 | Qmax: -165.9125 | Exploration: 0.650000 
| Reward: -59360 | Episode: 5 | Qmax: -205.6586 | Exploration: 0.650000 
| Reward: -57560 | Episode: 6 | Qmax: -242.1911 | Exploration: 0.650000 
| Reward: -54140 | Episode: 7 | Qmax: -276.3159 | Exploration: 0.650000 
| Reward: -55220 | Episode: 8 | Qmax: -309.5594 | Exploration: 0.650000 
| Reward: -55760 | Episode: 9 | Qmax: -340.8512 | Exploration: 0.650000 
| Reward: -52610 | Episode: 10 | Qmax: -370.2034 | Exploration: 0.650000 
| Reward: -53600 | Episode: 11 | Qmax: -397.5729 | Exploration: 0.650000 
| Reward: -52880 | Episode: 12 | Qmax: -424.1847 | Exploration: 0.650000 
| Reward: -52250 | Episode: 13 | Qmax: -450.2627 | Exploration: 0.650000 
| Reward: -54500 | Episode: 14 | Qmax: -474.8898 | Exploration: 0.650000 
| Reward: -53240 | Episode: 15 | Qmax: -497.0933 | Exploration: 0.650000 
| Reward: -52250 | Episode: 16 | Qmax: -519.4574 | Exploration: 0.650000 
| Reward: -52160 | Episode: 17 | Qmax: -541.5903 | Exploration: 0.650000 
| Reward: -53420 | Episode: 18 | Qmax: -561.7917 | Exploration: 0.650000 
| Reward: -51890 | Episode: 19 | Qmax: -579.9745 | Exploration: 0.650000 
DDQN Saved
| Reward: -55310 | Episode: 20 | Qmax: -598.0509 | Exploration: 0.650000 
| Reward: -53150 | Episode: 21 | Qmax: -614.1819 | Exploration: 0.650000 
| Reward: -53510 | Episode: 22 | Qmax: -631.5154 | Exploration: 0.650000 
| Reward: -52970 | Episode: 23 | Qmax: -647.2332 | Exploration: 0.650000 
| Reward: -51890 | Episode: 24 | Qmax: -660.4656 | Exploration: 0.650000 
| Reward: -53330 | Episode: 25 | Qmax: -673.2001 | Exploration: 0.650000 
| Reward: -53240 | Episode: 26 | Qmax: -685.7897 | Exploration: 0.650000 
| Reward: -53420 | Episode: 27 | Qmax: -698.2367 | Exploration: 0.650000 
| Reward: -52430 | Episode: 28 | Qmax: -710.1677 | Exploration: 0.650000 
| Reward: -52700 | Episode: 29 | Qmax: -721.7799 | Exploration: 0.650000 
| Reward: -52610 | Episode: 30 | Qmax: -732.8166 | Exploration: 0.650000 
| Reward: -51710 | Episode: 31 | Qmax: -743.9744 | Exploration: 0.650000 
| Reward: -53060 | Episode: 32 | Qmax: -754.9011 | Exploration: 0.650000 
| Reward: -52700 | Episode: 33 | Qmax: -764.7414 | Exploration: 0.650000 
| Reward: -51440 | Episode: 34 | Qmax: -773.9876 | Exploration: 0.650000 
| Reward: -53330 | Episode: 35 | Qmax: -783.0093 | Exploration: 0.650000 
| Reward: -53150 | Episode: 36 | Qmax: -791.4645 | Exploration: 0.650000 
| Reward: -51260 | Episode: 37 | Qmax: -799.5592 | Exploration: 0.650000 
| Reward: -54050 | Episode: 38 | Qmax: -807.2354 | Exploration: 0.650000 
| Reward: -52250 | Episode: 39 | Qmax: -815.2090 | Exploration: 0.650000 
DDQN Saved
| Reward: -52250 | Episode: 40 | Qmax: -822.6030 | Exploration: 0.650000 
| Reward: -50990 | Episode: 41 | Qmax: -829.5268 | Exploration: 0.650000 
| Reward: -50990 | Episode: 42 | Qmax: -836.5103 | Exploration: 0.650000 
| Reward: -52610 | Episode: 43 | Qmax: -843.3791 | Exploration: 0.650000 
| Reward: -50630 | Episode: 44 | Qmax: -849.4606 | Exploration: 0.650000 
| Reward: -51890 | Episode: 45 | Qmax: -855.1156 | Exploration: 0.650000 
| Reward: -51800 | Episode: 46 | Qmax: -860.9388 | Exploration: 0.650000 
| Reward: -51350 | Episode: 47 | Qmax: -866.0199 | Exploration: 0.650000 
| Reward: -50540 | Episode: 48 | Qmax: -870.3314 | Exploration: 0.650000 
| Reward: -51170 | Episode: 49 | Qmax: -874.9996 | Exploration: 0.650000 
| Reward: -50810 | Episode: 50 | Qmax: -879.3328 | Exploration: 0.650000 
| Reward: -50450 | Episode: 51 | Qmax: -882.8641 | Exploration: 0.650000 
| Reward: -50540 | Episode: 52 | Qmax: -886.8933 | Exploration: 0.650000 
| Reward: -50360 | Episode: 53 | Qmax: -890.6531 | Exploration: 0.650000 
| Reward: -50540 | Episode: 54 | Qmax: -893.7226 | Exploration: 0.650000 
| Reward: -50360 | Episode: 55 | Qmax: -896.4959 | Exploration: 0.650000 
| Reward: -51350 | Episode: 56 | Qmax: -899.7960 | Exploration: 0.650000 
| Reward: -50720 | Episode: 57 | Qmax: -903.3553 | Exploration: 0.650000 
| Reward: -50900 | Episode: 58 | Qmax: -906.6501 | Exploration: 0.650000 
| Reward: -50810 | Episode: 59 | Qmax: -909.4678 | Exploration: 0.650000 
DDQN Saved
| Reward: -51530 | Episode: 60 | Qmax: -912.2898 | Exploration: 0.650000 
| Reward: -50630 | Episode: 61 | Qmax: -915.0590 | Exploration: 0.650000 
| Reward: -52250 | Episode: 62 | Qmax: -917.7810 | Exploration: 0.650000 
| Reward: -55040 | Episode: 63 | Qmax: -919.9308 | Exploration: 0.650000 
| Reward: -51170 | Episode: 64 | Qmax: -922.9252 | Exploration: 0.650000 
| Reward: -51080 | Episode: 65 | Qmax: -925.7056 | Exploration: 0.650000 
| Reward: -51350 | Episode: 66 | Qmax: -927.8459 | Exploration: 0.650000 
| Reward: -50450 | Episode: 67 | Qmax: -929.6633 | Exploration: 0.650000 
| Reward: -51890 | Episode: 68 | Qmax: -931.8838 | Exploration: 0.650000 
| Reward: -50810 | Episode: 69 | Qmax: -934.2161 | Exploration: 0.650000 
| Reward: -53240 | Episode: 70 | Qmax: -936.1357 | Exploration: 0.650000 
| Reward: -52160 | Episode: 71 | Qmax: -937.6087 | Exploration: 0.650000 
| Reward: -50990 | Episode: 72 | Qmax: -938.7700 | Exploration: 0.650000 
| Reward: -52430 | Episode: 73 | Qmax: -940.9033 | Exploration: 0.650000 
| Reward: -52340 | Episode: 74 | Qmax: -942.7093 | Exploration: 0.650000 
| Reward: -50810 | Episode: 75 | Qmax: -944.5449 | Exploration: 0.650000 
| Reward: -52070 | Episode: 76 | Qmax: -946.2484 | Exploration: 0.650000 
| Reward: -51170 | Episode: 77 | Qmax: -947.8032 | Exploration: 0.650000 
| Reward: -50540 | Episode: 78 | Qmax: -949.1313 | Exploration: 0.650000 
| Reward: -50990 | Episode: 79 | Qmax: -950.5250 | Exploration: 0.650000 
DDQN Saved
| Reward: -51350 | Episode: 80 | Qmax: -951.6991 | Exploration: 0.650000 
| Reward: -52610 | Episode: 81 | Qmax: -952.7868 | Exploration: 0.650000 
| Reward: -53060 | Episode: 82 | Qmax: -953.7765 | Exploration: 0.650000 
| Reward: -52520 | Episode: 83 | Qmax: -954.7189 | Exploration: 0.650000 
| Reward: -53330 | Episode: 84 | Qmax: -955.3697 | Exploration: 0.650000 
| Reward: -50810 | Episode: 85 | Qmax: -955.9001 | Exploration: 0.650000 
| Reward: -51710 | Episode: 86 | Qmax: -956.9236 | Exploration: 0.650000 
| Reward: -52700 | Episode: 87 | Qmax: -957.5311 | Exploration: 0.650000 
| Reward: -51890 | Episode: 88 | Qmax: -958.3597 | Exploration: 0.650000 
| Reward: -52520 | Episode: 89 | Qmax: -959.2655 | Exploration: 0.650000 
| Reward: -50720 | Episode: 90 | Qmax: -960.1443 | Exploration: 0.650000 
| Reward: -53960 | Episode: 91 | Qmax: -960.7820 | Exploration: 0.650000 
| Reward: -51890 | Episode: 92 | Qmax: -961.1316 | Exploration: 0.650000 
| Reward: -52340 | Episode: 93 | Qmax: -961.9221 | Exploration: 0.650000 
| Reward: -51080 | Episode: 94 | Qmax: -962.4875 | Exploration: 0.650000 
| Reward: -51890 | Episode: 95 | Qmax: -962.7832 | Exploration: 0.650000 
